No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
58,L202400724,VIPER CHALLENGE SDN BHD,VIPER KING OF THE MOUNTAIN,20/01/2024,20/01/2024
59,L202200415,Viper Challenge Sdn Bhd,Viper King Of The Mountain,05/03/2022,06/03/2022
60,L202400953,Viper challenge sdn Bhd,Viper Classic 2024,30/11/2024,30/11/2024
61,L202300164,VIPER CHALLENGE SDN BHD,VIPER CLASSIC 2023,03/12/2023,03/12/2023
62,L202200593,VIPER CHALLENGE SDN BHDN,VIPER CLASSIC 2022,17/12/2022,17/12/2022
63,L201900194,Original Bootcamp Sdn Bhd,Viper Classic,07/12/2019,08/12/2020
64,L202000322,Original Bootcamp Sdn Bhd,Viper Challenge King of The Mountain,07/03/2020,08/03/2020
65,L202100380,VIPER CHALLENGE SDN BHD,VIPER CHALLENGE 2021 @ SEPANG INTERNATIONAL CIRCUIT,11/12/2021,12/12/2021
66,L202300018,VIPER CHALLENGE SDN BHD,VIPER BRIDGE 2023,21/10/2023,22/10/2023
67,L202300674,VIPER CHALLENGE SDN BHD,Viper Beach 2023,20/05/2023,20/05/2023
68,L202200522,VIPER CHALLENGE SDN BHD,VIPER BEACH 2022,01/10/2022,01/10/2022
69,L202200416,VIPER CHALLENGE SDN BHD,viper beach,26/03/2022,27/03/2022
70,L202200479,Viper Challenge Sdn Bhd,VIPER ARENA,23/07/2022,24/07/2022
71,L202300063,VIPER CHALLENGE SDN BHD,VIPER ARENA,26/08/2023,26/08/2023
72,L202300014,VIPER CHALLENGE SDN BHD,Viper 100,07/07/2023,09/07/2023
73,L201900045,Via Networks,VI Cross Country,-,-
74,L202501159,Vantra Premier Enterprise,Vantra Premier Invitational Social League Season Two,20/09/2025,28/02/2026
75,L201900152,Mantra Experiential Sdn Bhd,VANKE RUN FOR FUN MALAYSIA 2019,02/11/2019,02/11/2019
76,L201900125,GTM Assets Management Sdn Bhd,Vangohh Halloween Fun Run,25/10/2019,25/10/2019
77,L202400813,EQUIP MANAGEMENT ENTERPRISE,VALOR FUN RUN 2024,27/07/2024,27/07/2024
78,L202200523,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,UUMISM - SPORTEXCEL MALAYSIAN JUNIOR GOLF TOUR 2022,10/09/2022,12/09/2022
79,L202300174,MEP VENTURES SDN BHD,USM ULTRA,30/12/2023,31/12/2023
80,L202501022,Yayasan Kecemerlangan Sukan Malaysia,US Kids Golf Malaysian Championship 2025,09/04/2025,11/04/2025
81,L202200569,Synapze Sdn Bhd,UPSI 100 YEARS CENTURY RIDE,27/11/2022,27/11/2022
82,L201900186,JomRun Sdn Bhd,Upin & Ipin Fun Run Melaka 2019,30/11/2019,01/12/2019
83,L202501107,COVE ESPORT SDN BHD,UNLEASHED YOUTH SIMRACING CHAMPIONSHIP,15/08/2025,17/08/2025
84,L201900223,AZ EMPIRE SOLUTION M SDN BHD,UNITY RUN,22/12/2019,22/12/2019
85,L202000305,JomRun Sdn Bhd,Unicorn Fun Run Finale,15/03/2020,15/03/2020
86,L201900080,JomRun Sdn. Bhd.,Unicorn Fun Run,24/08/2019,24/08/2019
87,L201900099,JomRun Sdn Bhd,Unicorn 5KM Johor,01/09/2019,01/09/2019
88,L201900166,Oriental Global Event Management,Unicorn 5KM Fun Run,27/10/2019,27/10/2019
89,L201900210,Oriental Global Event Management,Unicorn 5KM Fun Run,24/11/2019,24/11/2019
90,L201900209,Oriental Global Event Management,Unicorn 5KM Fun Run,30/11/2019,30/11/2019
91,L201900240,Oriental Global Event Management,Unicorn 5km Fun Run,29/12/2019,29/12/2019
92,L201900248,IJ EVENT MANAGEMENT,unicorn 5km fun run,05/01/2020,05/01/2020
93,L201900247,Oriental Global Event Management,unicorn 5km fun run,04/01/2020,04/01/2020
94,L202000297,Oriental Global Event Management,Unicorn 5KM Fun Run,15/02/2020,15/02/2020
95,L202000296,Oriental Global Event Management,Unicorn 5KM Fun Run,23/02/2020,23/02/2020
96,L202000295,Oriental Global Event Management,Unicorn 5KM Fun Run,01/03/2020,01/03/2020
97,L202000294,IJ EVENT MANAGEMENT,Unicorn 5KM Fun Run,22/02/2020,22/02/2020
98,L202000293,Oriental Global Event Management,Unicorn 5KM Fun Run,29/02/2020,29/02/2020
99,L202000292,IJ EVENT MANAGEMENT,Unicorn 5KM Fun Run,16/02/2020,16/02/2020
100,L201900061,Oriental Global Event Management,Unicorn 5 KM Fun Run,18/08/2019,18/08/2019
101,L201900118,Oriental Global Event Management,Unicorn 5 KM Fun Run,21/09/2019,21/09/2019
102,L201900128,Oriental Global Event Management,Unicorn 5 KM Fun Run,05/10/2019,05/10/2019
103,L201900140,Oriental Global Event Management,Unicorn 5 KM Fun Run,06/10/2019,06/10/2019
104,L201900149,IJ Event Management,Unicorn 5 KM Fun Run,13/10/2019,13/10/2019
105,L202501104,MST GOLF ARENA SDN BHD,UNDER ARMOUR GOLF DAY 2025,06/08/2025,06/08/2025
106,L202400779,MST GOLF MANAGEMENT SDN BHD,UNDER ARMOUR GOLF DAY 2024,13/06/2024,13/06/2024
107,L202300681,MST GOLF MANAGEMENT SDN BHD,UNDER ARMOUR GOLF DAY 2023,25/05/2023,25/05/2023
108,L202300083,SCORE SPORTS MANAGEMENT SDN BHD,UNDER ARMOUR COMBINE 2023,09/09/2023,09/09/2023
109,L202000363,Reach Publishing Sdn Bhd,UMMLCCS2,23/07/2020,30/11/2020
110,L202300148,ENDURANCE NATURE SDN BHD,UM24 (ULTRA MARATHON 24HOURS),18/11/2023,19/11/2023
111,L202200616,Endurance Nature Sdn Bhd,UM24,14/01/2023,15/01/2023
112,L202501216,Endurance Nature Sdn Bhd,UM24,22/11/2025,23/11/2025
113,L202400952,Lumen Sports Sdn Bhd,UM Ultra 2024,14/12/2024,15/12/2024
114,L202000268,ZUDDIN EVENT,Ultron UiTM Ultra Vol.4,01/02/2020,02/02/2020
115,L201900258,adham bike centre,ULTRON NEW YEAR 2020 RUN & RIDE,04/01/2020,05/01/2020
116,L202200560,Oriental Global Event Management,Ultron Merdeka Fun Run - Butterworth,23/10/2022,23/10/2022
117,L202200542,Oriental Global Event Management,Ultron Merdeka Fun Run - Alor Setar,15/10/2022,15/10/2022
118,L202300637,Oriental Global Event Management,Ultron Batik Fun Run - Ipoh,19/02/2023,19/02/2023
119,L202000341,Endurance Nature Sdn. Bhd.,Ultimate Trails Of The South 2020,08/02/2020,08/02/2020
120,L202200589,Endurance Nature Sdn Bhd,Ultimate Trails of The South,26/11/2022,27/11/2022
121,L202300056,ENDURANCE NATURE SDN BHD,ULTIMATE TRAILS OF PENANG ECO,18/08/2023,20/08/2023
122,L202501162,Endurance Nature Sdn Bhd,Ultimate Trails of Penang,10/10/2025,12/10/2025
123,L202400919,Endurance Nature Sdn Bhd,Ultimate Trails of Penang,18/10/2024,20/10/2024
124,L202000348,Tritiq Sdn Bhd,Ultimate Penang Runner Challenge,29/03/2020,29/03/2020
125,L202200459,ULTIASIA COMMUNITY SDN BHD,ULTIMATE INDOOR WEEKEND,04/06/2022,05/06/2022
126,L202601286,ZUDDIN EVENT,UiTM Ultra Vol.8,24/01/2026,25/01/2026
127,L202500966,ZUDDIN EVENT,UiTM Ultra Vol.7,17/01/2025,19/01/2025
128,L202400729,Zuddin Event,UiTM Ultra Vol.6,09/03/2024,10/03/2024
129,L202300644,ZUDDIN EVENT,UiTM Ultra Vol.5,25/02/2023,26/02/2023
130,L202300668,Fanaz Event & Management,UCMI Friendship Run 2023,19/03/2023,19/03/2023
131,L202200478,MST GOLF MANAGEMENT SDN BHD,UA GOLF DAY 2022,26/07/2022,26/07/2022
132,L202400930,Score Sports Management Sdn Bhd,UA Combine Malaysia 2024,26/10/2024,26/10/2024
133,L202300118,YAYASAN KECEMERLANGAN SUKAN MALAYSIA (SPORTEXCEL),U.S. KIDS GOLF MALAYSIA LOCAL TOUR 2023,31/10/2023,01/11/2023
134,L202400879,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,U.S KIDS GOLF LOCAL TOUR 2024 CENTRAL ZONE,03/09/2024,06/11/2024
135,L202400867,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,U.S KIDS GOLF LOCAL TOUR 2024,24/08/2024,20/02/2025
136,L202100374,Reach Publishing Sdn Bhd,U Mobile Mobile Legend Campus Championship Season 3,16/04/2021,30/11/2021
137,L202501151,PACERS SPORT EVENTS SDN BHD,Tzu Chi Charity Run 2025,12/10/2025,12/10/2025
138,L202400899,Pacers Sport Events Sdn Bhd,TZU CHI CHARITY RUN 2024,13/10/2024,13/10/2024
139,L202300707,TYNG DANCE ACADEMY,TYNG OPEN DANCESPORT CHAMPIONSHIP 2023,03/06/2023,04/06/2023
140,L202501253,TEN SENSES (M) SDN BHD,TWINCITY MARATHON 2026,17/01/2026,18/01/2026
141,L202500970,TEN SENSES (M) SDN BHD,TWINCITY MARATHON 2025,11/01/2025,12/01/2025
142,L202300659,TEN SENSES (M) SDN BHD,TWINCITY MARATHON 2023,12/03/2023,12/03/2023
143,L201900263,TEN SENSES (M) SDN BHD,TWINCITY MARATHON 2020,18/01/2020,19/01/2020
144,L202000330,TERENGGANU PRO-ASIA CYCLING TEAM,TSG SHIMANO FELLOWSHIP RIDE 2020,22/02/2020,22/02/2020
145,L202200499,CYCLOMOTION SDN BHD,TROPICANA GOGO FIT CYCLING EVENT @ TROPICANA AMAN,28/08/2022,28/08/2022
146,L201900102,SRI PELANCONGAN SABAH SDN BHD,TROPICAL RAINFOREST RUN,28/09/2019,28/09/2019
147,L202300121,KAZOKU EVENTS,TRIDUATHLON 4 2023,21/10/2023,21/10/2023
148,L202200473,Kazoku Events,TRIATHLON SERIES PORT DICKSON 2022,20/08/2022,21/08/2022
149,L202200431,KAZOKU EVENTS,TRIATHLON SERIES MELAKA 2022,05/06/2022,05/06/2022
150,L202200568,Kazoku Events,TRIATHLON SERIES FINALE MELAKA 2022,26/11/2022,27/11/2022
151,L202501243,THE CREW UNLIMITED,TRIATHLON,11/01/2026,11/01/2026
152,L202400809,Mountain Goat Events,Trans QJM Pulai Ultra 2024,22/06/2024,23/06/2024
153,L202501002,EVENTURE PROJECTS ENTERPRISE,TRANS MOUNT LAMBAK TRAIL 2025,23/05/2025,24/05/2025
154,L202200423,Transview Golf Sdn Bhd,Train To Mines Golf Tournament 2022,27/03/2022,27/03/2022
155,L202300034,DIRIGO EVENTS SDN BHD,TRAIL TITANS KIARA HILL 2023,27/08/2023,27/08/2023
156,L202300165,DIRIGO EVENTS SDN BHD,TRAIL TITANS BANDAR SERI COALFIELDS 2023,09/12/2023,09/12/2023
157,L202400854,ALL TRAIL PROJECT EVENT MANAGEMENT,TRAIL ENDURANCE SERIES : KOTA DAMANSARA,25/08/2024,25/08/2024
158,L202501043,ALL TRAIL PROJECT EVENT MANAGEMENT,TRAIL ENDURANCE SERIES : KOTA DAMANSARA,11/05/2025,11/05/2025
159,L202501114,ALL TRAIL PROJECT EVENT MANAGEMENT,TRAIL ENDURANCE SERIES : BUKIT GASING,10/08/2025,10/08/2025
160,L202400941,ALL TRAIL PROJECT EVENT MANAGEMENT,TRAIL ENDURANCE SERIES : BUKIT GASING,24/11/2024,24/11/2024
161,L202400791,ALL TRAIL PROJECT EVENT MANAGEMENT,TRAIL ENDURANCE SERIES 2024,08/06/2024,09/06/2024
162,L202300041,HIJO OUTDOOR & SPORTS EVENTS MANAGEMENT,TRAIL DES PANGKOR,05/08/2023,05/08/2023
163,L202400961,Hijo Outdoor & Sports Events Management,Trail des Lenggeng,28/01/2025,29/12/2024
164,L202501226,Hijo Outdoor & Sports Events Management,Trail des Lenggeng,29/11/2025,30/11/2025
165,L202501083,Hijo Outdoor & Sports Events Management,Trail des Gombak,20/06/2025,22/06/2025
166,L202200468,Hijo Outdoor & Sports Events Management,Trail de Gombak Run,26/06/2022,26/06/2022
167,L202501106,Score Sports Management Sdn Bhd,Toyota Start Your Impossible Run 2025,27/07/2025,27/07/2025
168,L202300630,VIRTUAL EVENT PLATFORM ASIA SDN. BHD.,TOYOTA OUTRUN 2023,15/01/2023,15/01/2023
169,L201900207,TWENTY FIRST CENTURY SPORTS (M) SDN BHD,Toyota Outrun 2019,17/11/2019,17/11/2019
170,L202200429,Penggerak Acara Padang Lalang,Tourism Pahang Ride de Bera 2022,20/03/2022,20/03/2022
171,L202300006,HUMBURGER ASIA SDN BHD,TOUGH MUDDER MALAYSIA,05/08/2023,05/08/2023
172,L202200451,Hamburger Asia Sdn Bhd,TOUGH MUDDER,21/05/2022,21/05/2022
173,L202200461,TOPS ARENA EMPIRE,TOPS ARENA JUNIOR ROUND ROBIN BADMINTON,25/06/2022,26/06/2022
174,L202400717,TLM Event Sdn Bhd,Together: A Walk to Remember,14/01/2024,14/01/2024
175,L202000290,Global Supply Chain Resources,Together Stronger,29/03/2020,29/03/2020
176,L202400807,ISREC ADV RESOURCES,TNBYY ULTRA 2024,29/06/2024,30/06/2024
177,L202400943,Score Sports Management Sdn Bhd,TNB Energy Night Walk & Run 2024,23/11/2024,23/11/2024
178,L201900016,EC Pixels,TnB Energy Night Run,27/07/2019,27/07/2019
179,L202300051,BORNEO ULTRA TRAILS SDN BHD,TMBT ULTRA TRAIL MARATHON,02/09/2023,03/09/2023
180,L201900008,BORNEO ULTRA TRAILS SDN BHD,TMBT (THE MOST BEAUTIFUL THING),14/09/2019,15/09/2019
181,L202300102,GISEL UNITED SDN BHD,TM CAMPUS RIDE 2023,30/09/2023,30/09/2023
182,L202500996,Endurance Nature Sdn Bhd,Titi Ultra Ride 2025,26/04/2025,26/04/2025
183,L202200421,Endurance Nature Sdn Bhd,TITI ULTRA 2022,04/03/2022,06/03/2022
184,L202500990,Endurance Nature Sdn Bhd,Titi Ultra,25/04/2025,27/04/2025
185,L202300640,Endurance Nature Sdn Bhd,Titi Ultra,17/03/2023,19/03/2023
186,L202501143,XS Elite Performance Services,Titan 77.7 Malaysia Long Distance Duathlon,17/08/2025,17/08/2025
187,L202400740,ELPIS EVENT MANAGEMENT,TIN MINES ENDURANCE CHALLENGE 2024,21/09/2024,22/09/2024
188,L202300646,ELPIS EVENT MANAGEMENT,TIN MINES ENDURANCE CHALLENGE 2023,20/05/2023,21/05/2023
189,L201900239,ELPIS EVENT MANAGEMENT,TIN MINES ENDURANCE CHALLENGE 2020,27/06/2020,28/06/2020
190,L202501098,MST GOLF ARENA SDN BHD,TIME TO ACE GOLF TOURNAMENT,14/08/2025,14/08/2025
191,L202400820,MST GOLF MANAGEMENT SDN BHD,Time to Ace : Golf Tournament,07/08/2024,07/08/2024
192,L202400848,SUNLIGHT GALAXY SDN BHD,Tiga Saga Li-Ning Cup 2024,17/08/2024,22/09/2024
193,L202501109,SUNLIGHT GALAXY SDN BHD,TIGA SAGA CUP 2025,02/08/2025,24/08/2025
194,L202000267,JHK Events,TIARA SUNRISE BEACH RUN,02/02/2020,02/02/2020
195,L202200614,Endurance Nature Sdn Bhd,The TOP Tower Run,08/01/2023,08/01/2023
196,L202300655,swimon,The Thistle PD Resort PD 2KM OWS Classic 2023,26/02/2023,26/02/2023
197,L202200452,Swimon Enterprise,The Thistle PD Resort PD 2KM OWS Classic,21/05/2022,21/05/2022
198,L202400728,Swimon Enterprise,The Thistle PD Resort 2KM OWS Classic,03/02/2024,03/02/2024
199,L202501148,Fresh Events Asia Sdn Bhd,The Sky Race,30/08/2025,30/08/2025
200,L201900164,NM GALAXY SDN. BHD.,THE RUNNING DIVA MALAYSIA - PINKTOBER 2019 @ PUTRAJAYA,20/10/2019,20/10/2019
201,L202300127,MMTF Consultant,THE NORTH FACE MALAYSIA MOUTAIN TRAIL FESTIVAL 2023,23/11/2023,26/11/2023
202,L202200600,MMTF CONSULTANT,THE NORTH FACE MALAYSIA MOUNTAIN TRAIL FESTIVAL 2022,25/11/2022,27/11/2022
203,L201900123,FRESH EVENTS ASIA SDN. BHD.,The Music Run by CIMB,23/11/2019,23/11/2019
204,L202501072,Borneo Ultra Trails Sdn Bhd,The Most Beautiful Thing (TMBT) Ultra-Trail Marathon,30/08/2025,31/08/2025
205,L202400842,BORNEO ULTRA TRAILS SDN BHD,The Most Beautiful Thing (TMBT) Ultra-Trail Marathon,14/09/2024,15/09/2024
206,L201900261,BORNEO ULTRA TRAILS SDN BHD,THE MOST BEAUTIFUL THING (TMBT),29/08/2020,30/08/2020
207,L201900054,TEN SENSES (M) SDN BHD,THE MAGNIFICIENT MERAPOH TRAIL,23/08/2019,24/08/2019
208,L202400925,TEN SENSES (M) SDN BHD,THE MAGNIFICENT BALING 100 - 2024,25/10/2024,26/10/2024
209,L202501105,TEN SENSES (M) SDN BHD,THE MAGNIFICENT BALING 100,15/08/2025,16/08/2025
210,L201900203,XS Elite Performance Services,The Lost World Of Ultra,16/11/2019,17/11/2019
211,L202300166,IRONGIRL MALAYSIA SDN BHD,THE KEBAYA RUNFUN RUN,10/12/2023,10/12/2023
212,L202400725,THE BONGCIT HUB,THE HIDDEN VILLAGE ENDURANCE 2.0,01/03/2024,03/03/2024
213,L202501230,GoSportz Sdn Bhd,The Heritage Ride Taiping 2025,30/11/2025,30/11/2025
214,L201900162,Pacat Event Solutions,The Great Malaysia Trail 2019,19/10/2019,20/10/2019
215,L202400775,PACAT EVENT SOLUTIONS,THE GREAT MALAYA TRAIL,28/09/2024,29/09/2024
216,L202501006,THE BONGCIT HUB,THE GOLDEN PANORAMIC 100 MILES,23/05/2025,25/05/2025
217,L202501215,SPORTSYNC,THE DOUBLES COMBINED 6.0 UNCLEBOB CUP,08/11/2025,08/11/2025
218,L202501130,MANTRA COMMUNICATION SDN BHD,THE CURVE MERDEKA FOOD RUN 2025,30/08/2025,30/08/2025
219,L202400869,GEMPAK PRIMA SDN BHD,THE CURVE MERDEKA FOOD RUN 2024,31/08/2024,31/08/2024
220,L201900021,PERSATUAN ORANG PEKAK PULAU PINANG,THE COLOURFUL RUN 4.0,22/09/2019,22/09/2019
221,L202400756,PARADIGM SPORTS MANAGEMENT,THE BATANGSI TRAIL,18/05/2024,19/05/2024
222,L201900200,TEC EVENT CREW,The B Run 2019 (Run For Clean Water),24/11/2019,24/11/2019
223,L202300684,MZH SERVICES,THE APPLE AUTO RUN 2023,14/05/2023,14/05/2023
224,L202200557,MMTF CONSULTANT,THE 9 DRAGONS ULTRA MALAYSIA,28/10/2022,30/10/2022
225,L202200572,KOKORO DEVELOPMENT SDN. BHD.,THE 18th ASIA SHINKYOKUSHINKAI KARATE OPEN CHAMPIONSHIP,20/11/2022,20/11/2022
226,L202501168,SEPANG INTERNATIONAL CIRCUIT SDN BHD,THAILAND SUPER SERIES 2025,19/09/2025,21/09/2025
227,L202000366,Cove Esport Sdn Bhd,TGR Velocity Esports Championship,26/09/2020,27/09/2020
228,L202601296,TFIGHT ENTERTAINMENT AND EVENT MANAGEMENT,TFIGHT ALL STAR,24/04/2026,24/04/2026
229,L202300097,SCORE SPORTS MANAGEMENT SDN BHD,TF VALUE MART FUN FAIR RUN 2023,24/09/2023,24/09/2023
230,L202501172,ISREC ADV RESOURCES,TERRATROPIC ADVENTURE RACE 2025,19/09/2025,20/09/2025
231,L202601289,THE BONGCIT HUB,TERENGGANU ULTRA,19/06/2026,21/06/2026
232,L202200498,TERENGGANU INCORPORATED SDN. BHD.,TERENGGANU INC CHALLENGE SERIES: TASIK KENYIR JET SKI CHAMPIONSHIP 2022,28/07/2022,30/07/2022
233,L202000351,JHK EVENTS,TENOM CROSS COUNTRY CHALLENGE 2020,19/04/2020,19/04/2020
234,L202501064,Tenacore Technology Sdn. Bhd,TenaCare x Autism Awareness Run,15/06/2025,15/06/2025
235,L202200533,Golden Sandy Ventures SDN BHD,TELAGAWALK NETBALL OPEN CHAMPIONSHIP,29/10/2022,30/10/2022
236,L201900259,adham bike centre,TC year end fun run,29/12/2019,29/12/2019
237,L202400757,MST GOLF MANAGEMENT SDN BHD,TaylorMade Golf Day 2024,09/05/2024,09/05/2024
238,L202300680,MST GOLF MANAGEMENT SDN BHD,TAYLORMADE GOLF DAY 2023,14/06/2023,14/06/2023
239,L202000327,JomRun Sdn. Bhd.,Tawau Unicorn 5km Fun Run,07/03/2020,07/03/2020
240,L202300678,HARIFAH ENTERPRISE,TAWAU ROAD RACE1.0 2023,19/03/2023,19/03/2023
241,L202501036,ALL TRAIL PROJECT EVENT MANAGEMENT,TANJUNG TUAN TRAIL RUN 2025,25/05/2025,25/05/2025
242,L201900254,JomRun Sdn. Bhd.,Tanjung Aru 5km Sunset Fun Run,19/01/2020,19/01/2020
243,L202400939,DANZ EVENT & MANAGEMENT SDN BHD,TAMAN NEGARA ULTRA,09/11/2024,10/11/2024
244,L202200591,HIROSHI G TECH SDN BHD,TAMAN NEGARA TEKOMA MARATHON 2022,24/12/2022,24/12/2022
245,L202300679,Lumen Sports Sdn Bhd,Taman Jaya Ultra 2023,29/04/2023,01/05/2023
246,L202400746,Lumen Sports Sdn Bhd,TAMAN JAYA ULTRA,29/03/2024,31/03/2024
247,L201900157,LAB Activation Sdn Bhd,Taiwan Excellence Esports Cup 2019,12/10/2019,13/10/2019
248,L202501073,Oriental Global Event Management,Taiping Mall Fun Run 3.0,06/07/2025,06/07/2025
249,L202300638,IJ EVENT MANAGEMENT,Taiping Mall Fun Run - Taiping,26/02/2023,26/02/2023
250,L202400776,Oriental Global Event Management,TAIPING MALL FUN RUN,26/05/2024,26/05/2024
